Certifications,Job Postings,%,code
SECURITY CLEARANCE,6713,4.03,15-1121
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),4348,2.61,15-1121
IT INFRASTRUCTURE LIBRARY,1373,0.82,15-1121
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),1338,0.8,15-1121
SECURITY+,1102,0.66,15-1121
CERTIFIED A+ TECHNICIAN,919,0.55,15-1121
CISCO CERTIFIED NETWORK ASSOCIATE,788,0.47,15-1121
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),699,0.42,15-1121
NETWORK+ CERTIFIED,617,0.37,15-1121
SANS/GIAC CERTIFICATION,607,0.36,15-1121
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),516,0.31,15-1121
SIX SIGMA CERTIFICATION,496,0.3,15-1121
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),480,0.29,15-1121
EPIC CERTIFICATION,466,0.28,15-1121
SCRUM,417,0.25,15-1121
CERTIFIED INFORMATION SECURITY MANAGER (CISM),393,0.24,15-1121
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),385,0.23,15-1121
MICROSOFT CERTIFIED PROFESSIONAL (MCP),362,0.22,15-1121
BUSINESS ANALYSIS CERTIFICATE,361,0.22,15-1121
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),317,0.19,15-1121
TOGAF,241,0.14,15-1121
CERTIFIED BUSINESS ANALYSIS PROFESSIONAL,230,0.14,15-1121
SAP CERTIFICATION,227,0.14,15-1121
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,208,0.12,15-1121
CERTIFIED SCRUM PROFESSIONAL,206,0.12,15-1121
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),181,0.11,15-1121
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,175,0.11,15-1121
CERTIFIED SENIOR SYSTEM ARCHITECT,171,0.1,15-1121
SIX SIGMA GREEN BELT,167,0.1,15-1121
SYSTEMS SECURITY CERTIFIED PRACTITIONER,164,0.1,15-1121
INVESTMENT ADVISOR,163,0.1,15-1121
CERTIFIED LEAD SYSTEM ARCHITECT,154,0.09,15-1121
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),149,0.09,15-1121
CERTIFIED NOVELL ADMINISTRATOR,146,0.09,15-1121
AGILE CERTIFICATION,145,0.09,15-1121
CERTIFIED ADMINISTRATOR,139,0.08,15-1121
WELDING CERTIFICATION (E.G. AWS CERTIFIED WELDER),139,0.08,15-1121
INSPECTION CERTIFICATION,138,0.08,15-1121
FIRST AID CPR AED,133,0.08,15-1121
LEAN SIX SIGMA,128,0.08,15-1121
CERTIFIED SYSTEM ADMINISTRATOR,122,0.07,15-1121
SIX SIGMA BLACK BELT,122,0.07,15-1121
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),121,0.07,15-1121
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,120,0.07,15-1121
SALESFORCE.COM ADMINISTRATOR,118,0.07,15-1121
VMWARE CERTIFIED PROFESSIONAL,113,0.07,15-1121
INFORMATION TECHNOLOGY CERTIFICATION,105,0.06,15-1121
MICROSOFT CERTIFIED SYSTEMS ENGINEER (MCSE),102,0.06,15-1121
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,98,0.06,15-1121
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,94,0.06,15-1121
CERTIFIED BUSINESS ANALYST PROFESSIONAL,94,0.06,15-1121
FORKLIFT OPERATOR CERTIFICATION,88,0.05,15-1121
SERIES 7,87,0.05,15-1121
CERTIFIED PUBLIC ACCOUNTANT (CPA),86,0.05,15-1121
LINUX+,86,0.05,15-1121
CERTIFIED APPLICATION DEVELOPER,82,0.05,15-1121
MICROSOFT CERTIFIED DESKTOP SUPPORT TECHNICIAN,82,0.05,15-1121
RED HAT CERTIFIED ENGINEER,80,0.05,15-1121
CDL CLASS A,75,0.05,15-1121
PROFESSIONAL ENGINEER,75,0.05,15-1121
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,69,0.04,15-1121
RED HAT CERTIFIED SYSTEM ADMINSTRATOR,69,0.04,15-1121
SERVER+,69,0.04,15-1121
CASINO GAMING LICENSE,68,0.04,15-1121
CERTIFIED ETHICAL HACKER,66,0.04,15-1121
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),66,0.04,15-1121
PROFESSIONAL IN HUMAN RESOURCES,66,0.04,15-1121
APPLE CERTIFIED MACINTOSH TECHNICIAN,61,0.04,15-1121
IT SERVICE MANAGEMENT,61,0.04,15-1121
PHLEBOTOMY CERTIFICATION,57,0.03,15-1121
SOCIAL WORK LICENSE,55,0.03,15-1121
OPTICIAN,54,0.03,15-1121
CHARTERED FINANCIAL ANALYST (CFA),52,0.03,15-1121
REGISTERED HEALTH INFORMATION TECHNICIAN,51,0.03,15-1121
BASIC CARDIAC LIFE SUPPORT CERTIFICATION,50,0.03,15-1121
DATABASE ADMINISTRATOR (DBA),50,0.03,15-1121
MANAGEMENT AND SUPERVISION,49,0.03,15-1121
MBE CERTIFIED,49,0.03,15-1121
SALESFORCE.COM DEVELOPER,48,0.03,15-1121
COMMERCIAL DRIVER'S LICENSE,46,0.03,15-1121
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),45,0.03,15-1121
REGISTERED HEALTH INFORMATION ADMINISTRATOR,45,0.03,15-1121
CERTIFIED ANTI MONEY LAUNDERING,44,0.03,15-1121
CISCO CERTIFIED DESIGN PROFESSIONAL (CCDP),43,0.03,15-1121
SERIES 6,43,0.03,15-1121
CERTIFIED FRAUD EXAMINER,40,0.02,15-1121
CDL CLASS C,39,0.02,15-1121
CERTIFIED MEDICAL LABORATORY TECHNICIAN,39,0.02,15-1121
PHARMACIST,39,0.02,15-1121
CHARTERED PROPERTY CASUALTY UNDERWRITER,38,0.02,15-1121
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),38,0.02,15-1121
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),37,0.02,15-1121
LEAN CERTIFICATION,35,0.02,15-1121
CISCO CERTIFIED SECURITY PROFESSIONAL,34,0.02,15-1121
PRINCE2 CERTIFICATION,34,0.02,15-1121
SENIOR PROFESSIONAL IN HUMAN RESOURCES,34,0.02,15-1121
FINANCIAL RISK MANAGER,33,0.02,15-1121
CERTIFIED HIPAA PROFESSIONAL,32,0.02,15-1121
PROGRAMMING CERTIFICATION (E.G. JAVA PROGRAMMING CERT),32,0.02,15-1121
ALCOHOL SERVER CERTIFICATION,31,0.02,15-1121
CERTIFIED ENERGY MANAGER,31,0.02,15-1121
CERTIFIED SUPPLY CHAIN PROFESSIONAL,31,0.02,15-1121
CHECK POINT CERTIFIED SECURITY ADMINISTRATOR,31,0.02,15-1121
PROGRAM MANAGEMENT CERTIFICATION,31,0.02,15-1121
AMERICAN SOCIETY FOR CLINICAL PATHOLOGY (ASCP) CERTIFICATION,30,0.02,15-1121
CERTIFIED PHARMACY TECHNICIAN,30,0.02,15-1121
JAVA CERTIFICATION (E.G. SUN CERTIFIED JAVA ASSOC),30,0.02,15-1121
SECURITY CERTIFIED NETWORK PROFESSIONAL,30,0.02,15-1121
CERTIFICATE IN SCHOOL ADMINISTRATION,29,0.02,15-1121
REGISTERED COMMUNICATIONS DISTRIBUTION DESIGNER,29,0.02,15-1121
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,28,0.02,15-1121
MEDICAL BILLING AND CODING CERTIFICATION,28,0.02,15-1121
APPLE CERTIFIED TECHNICAL COORDINATOR,27,0.02,15-1121
MICROSOFT CERTIFIED IT PROFESSIONAL (MCITP),27,0.02,15-1121
CERTIFIED BUILDING COMMISSIONING PROFESSIONAL,26,0.02,15-1121
INSURANCE LICENSE,26,0.02,15-1121
QUALITY MANAGEMENT,26,0.02,15-1121
CERTIFIED INTERNAL AUDITOR,25,0.02,15-1121
CERTIFIED PROFESSIONAL CODER,25,0.02,15-1121
CHARTERED LIFE UNDERWRITER (CLU),25,0.02,15-1121
ORACLE DATABASE CERTIFICATION,25,0.02,15-1121
SERVSAFE,25,0.02,15-1121
SIX SIGMA YELLOW BELT,25,0.02,15-1121
TECHNICAL TRAINING CERTIFICATION,25,0.02,15-1121
AMERICAN REGISTRY OF RADIOLOGIC TECHNOLOGISTS (ARRT),24,0.01,15-1121
CERTIFIED CARDIOGRAPHIC TECHNICIAN,24,0.01,15-1121
CERTIFIED INFORMATION PRIVACY PROFESSIONAL (CIPP),24,0.01,15-1121
FUNDAMENTAL PAYROLL CERTIFICATION,24,0.01,15-1121
LICENSED VOCATIONAL NURSE (LVN),24,0.01,15-1121
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION CERTIFICATION,24,0.01,15-1121
WINDOWS CERTIFICATION (E.G. WINDOWS 7 CERT),24,0.01,15-1121
ACCESS MANAGEMENT,23,0.01,15-1121
CERTIFIED DEFENSE FINANCIAL MANAGER,23,0.01,15-1121
CERTIFIED IN THE GOVERNANCE OF ENTERPRISE IT,23,0.01,15-1121
CERTIFIED IN INTEGRATED RESOURCE MANAGEMENT (CIRM),22,0.01,15-1121
HDI DESKTOP SUPPORT TECHNICIAN,22,0.01,15-1121
TEACHING CERTIFICATE,22,0.01,15-1121
CERTIFIED SOFTWARE QUALITY ANALYST,21,0.01,15-1121
COMPUTER SCIENCE CERTIFICATION,21,0.01,15-1121
ELECTRICIAN CERTIFICATION,21,0.01,15-1121
HAZARDOUS MATERIALS CERTIFICATION,21,0.01,15-1121
MEDICAL TECHNICIAN,21,0.01,15-1121
ADVANCED CARDIAC LIFE SUPPORT (ACLS) CERTIFICATION,20,0.01,15-1121
CERTIFIED NETWORK ADMINISTRATOR,20,0.01,15-1121
CHARTERED FINANCIAL CONSULTANT,20,0.01,15-1121
HAZWOPER,20,0.01,15-1121
LICENSED MARRIAGE AND FAMILY THERAPIST,20,0.01,15-1121
RED HAT CERTIFIED ARCHITECT,20,0.01,15-1121
TRAINING FOR INTERVENTION PROCEDURES (TIPS) CERTIFICATION,20,0.01,15-1121
VMWARE CERTIFIED,20,0.01,15-1121
WINDOWS SERVER CERTIFICATION,20,0.01,15-1121
ADOBE CERTIFIED EXPERT (ACE),19,0.01,15-1121
CERTIFIED BUSINESS ANALYST,19,0.01,15-1121
CERTIFIED CODING SPECIALIST,19,0.01,15-1121
CERTIFIED SAFETY PROFESSIONAL,19,0.01,15-1121
LICENSED PROFESSIONAL COUNSELOR,19,0.01,15-1121
AMERICAN HEART ASSOCIATION CERTIFICATE,18,0.01,15-1121
CERTIFIED INFORMATION SYSTEM SECURITY PROFESSIONAL,18,0.01,15-1121
CERTIFIED UROLOGY CODER,18,0.01,15-1121
CISCO CERTIFIED VOICE PROFESSIONAL (CCVP),18,0.01,15-1121
INFORMATION SYSTEMS CERTIFICATION,18,0.01,15-1121
ADVANCED BUSINESS APPLICATION PROGRAMMING,17,0.01,15-1121
AIRFRAME AND POWERPLANT (A AND P) CERTIFICATION,17,0.01,15-1121
SDB CERTIFIED,17,0.01,15-1121
CERTIFIED NOVELL ENGINEER,16,0.01,15-1121
PSYCHOLOGIST LICENSE,16,0.01,15-1121
SERIES 63,16,0.01,15-1121
TEACHING LICENSE,16,0.01,15-1121
BICSI INSTALLER,15,0.01,15-1121
BUSINESS APPLICATIONS CERTIFICATE,15,0.01,15-1121
CERTIFIED CUSTOMER SERVICE SPECIALIST (CSS),15,0.01,15-1121
CERTIFIED EMPLOYEE BENEFIT SPECIALIST (CEBS),15,0.01,15-1121
CERTIFIED GOVERNMENT FINANCIAL MANAGER,15,0.01,15-1121
CERTIFIED SOFTWARE TESTER,15,0.01,15-1121
CERTIFIED SYSTEM ARCHITECT,15,0.01,15-1121
CHECK POINT CERTIFIED SECURITY EXPERT,15,0.01,15-1121
CLINICAL LABORATORY SCIENTIST (CLS),15,0.01,15-1121
COMPUTER TECHNOLOGY,15,0.01,15-1121
DATA CENTER DESIGN CONSULTANT,15,0.01,15-1121
JUNIPER NETWORKS CERTIFIED INTERNET ASSOCIATE,15,0.01,15-1121
PARALEGAL CERTIFICATION,15,0.01,15-1121
PURCHASING CERTIFICATION,15,0.01,15-1121
REAL ESTATE CERTIFICATION,15,0.01,15-1121
REGISTERED CARDIOVASCULAR INVASIVE SPECIALIST,15,0.01,15-1121
ADVANCED REGISTERED NURSE PRACTITIONER,14,0.01,15-1121
CERTIFIED FINANCIAL PLANNER,14,0.01,15-1121
CERTIFIED SERVICE CONSULTANT,14,0.01,15-1121
CERTIFIED SERVICE MANAGER (CSM),14,0.01,15-1121
HELP DESK CERTIFICATION (E.G. COMPTIA),14,0.01,15-1121
HUMAN RESOURCES (E.G. GPHR),14,0.01,15-1121
MASTER PROJECT MANAGEMENT,14,0.01,15-1121
MICROSOFT OFFICE CERTIFICATION,14,0.01,15-1121
SECURITIES LICENSE,14,0.01,15-1121
BUSINESS LICENSE,13,0.01,15-1121
CAREER DEVELOPMENT,13,0.01,15-1121
CISCO CERTIFIED DESIGN ASSOCIATE (CCDA),13,0.01,15-1121
COMPUTER ENGINEERING CERTIFICATE,13,0.01,15-1121
INSTITUTIONAL REVIEW BOARD (IRB),13,0.01,15-1121
NATIONAL CAREER READINESS CERTIFICATE,13,0.01,15-1121
BUILDING PERFORMANCE INSTITUTE (BPI),12,0.01,15-1121
CERTIFIED PUBLIC ACCOUNTANT (CPA),94265,37.03,13-2011
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),8217,3.23,13-2011
CERTIFIED INTERNAL AUDITOR,4270,1.68,13-2011
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),2810,1.1,13-2011
SECURITY CLEARANCE,2475,0.97,13-2011
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),1623,0.64,13-2011
INVESTMENT ADVISOR,1566,0.62,13-2011
CERTIFIED FRAUD EXAMINER,1429,0.56,13-2011
REGISTERED HEALTH INFORMATION ADMINISTRATOR,1394,0.55,13-2011
CERTIFIED PROFESSIONAL CODER,1387,0.54,13-2011
INSTITUTE OF INTERNAL AUDITORS (IIA),1225,0.48,13-2011
CERTIFIED REGULATORY COMPLIANCE MANAGER,1162,0.46,13-2011
REGISTERED HEALTH INFORMATION TECHNICIAN,1103,0.43,13-2011
CERTIFIED CODING SPECIALIST,958,0.38,13-2011
MEDICAL BILLING AND CODING CERTIFICATION,890,0.35,13-2011
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),832,0.33,13-2011
CERTIFIED PROFESSIONAL MEDICAL AUDITOR,650,0.26,13-2011
CERTIFIED INFORMATION SECURITY MANAGER (CISM),614,0.24,13-2011
CERTIFIED MANAGEMENT ACCOUNTANT (CMA),611,0.24,13-2011
CERTIFIED GOVERNMENT FINANCIAL MANAGER,507,0.2,13-2011
BUSINESS LICENSE,490,0.19,13-2011
CERTIFIED PROFESSIONAL CODER-HOSPITAL OUTPATIENT,442,0.17,13-2011
CERTIFICATE IN ACCOUNTING,411,0.16,13-2011
CERTIFIED DEFENSE FINANCIAL MANAGER,370,0.15,13-2011
AUDITOR CERTIFICATION,362,0.14,13-2011
CERTIFIED PROFESSIONAL CODER-PAYER,335,0.13,13-2011
CHARTERED FINANCIAL ANALYST (CFA),323,0.13,13-2011
CERTIFIED ANTI MONEY LAUNDERING,272,0.11,13-2011
IT INFRASTRUCTURE LIBRARY,262,0.1,13-2011
CASINO GAMING LICENSE,226,0.09,13-2011
CERTIFIED GOVERNMENT AUDIT PROFESSIONAL,209,0.08,13-2011
SERIES 7,205,0.08,13-2011
CHARTERED PROPERTY CASUALTY UNDERWRITER,192,0.08,13-2011
FINANCIAL RISK MANAGER,174,0.07,13-2011
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,169,0.07,13-2011
CHARTERED ACCOUNTANT,147,0.06,13-2011
CERTIFIED QUALITY AUDITOR,143,0.06,13-2011
CERTIFIED FINANCIAL PLANNER,133,0.05,13-2011
CERTIFIED PAYROLL PROFESSIONAL,128,0.05,13-2011
QUALITY MANAGEMENT,124,0.05,13-2011
QUALITY MANAGEMENT CERTIFICATION (E.G. CMQ),124,0.05,13-2011
CHECK POINT CERTIFIED SECURITY ADMINISTRATOR,123,0.05,13-2011
CERTIFIED FINANCIAL SERVICES AUDITOR,122,0.05,13-2011
LICENSED VOCATIONAL NURSE (LVN),118,0.05,13-2011
SOX (SARBANES-OXLEY) CERTIFICATION,112,0.04,13-2011
CERTIFIED IN THE GOVERNANCE OF ENTERPRISE IT,109,0.04,13-2011
SANS/GIAC CERTIFICATION,103,0.04,13-2011
SIX SIGMA CERTIFICATION,103,0.04,13-2011
CERTIFIED INFORMATION PRIVACY PROFESSIONAL (CIPP),100,0.04,13-2011
EPIC CERTIFICATION,98,0.04,13-2011
FIDUCIARY INVESTMENT RISK SPECIALIST,97,0.04,13-2011
FSSC 22000,97,0.04,13-2011
CERTIFIED GOVERNMENT AUDITING PROFESSIONAL,95,0.04,13-2011
MICROSOFT EXCEL CERTIFICATION,94,0.04,13-2011
CERTIFIED BANK AUDITOR,88,0.03,13-2011
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,73,0.03,13-2011
FIRST AID CPR AED,71,0.03,13-2011
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),71,0.03,13-2011
CERTIFICATION IN RISK MANAGEMENT ASSURANCE (CRMA),69,0.03,13-2011
TAX PREPARATION,68,0.03,13-2011
CERTIFIED BUILDING COMMISSIONING PROFESSIONAL,65,0.03,13-2011
CERTIFIED HIPAA PROFESSIONAL,61,0.02,13-2011
INFORMATION SYSTEMS CERTIFICATION,61,0.02,13-2011
SERIES 6,61,0.02,13-2011
FUNDAMENTAL PAYROLL CERTIFICATION,54,0.02,13-2011
CDL CLASS C,53,0.02,13-2011
INCOME TAX CERTIFICATE,53,0.02,13-2011
COMMERCIAL DRIVER'S LICENSE,51,0.02,13-2011
REAL ESTATE CERTIFICATION,50,0.02,13-2011
SIX SIGMA GREEN BELT,50,0.02,13-2011
CISCO CERTIFIED NETWORK ASSOCIATE,49,0.02,13-2011
SEATING AND MOBILITY SPECIALIST,45,0.02,13-2011
CERTIFIED LEAD AUDITOR,44,0.02,13-2011
HUMAN RESOURCES (E.G. GPHR),44,0.02,13-2011
CONTRACTORS LICENSE,42,0.02,13-2011
SIX SIGMA BLACK BELT,41,0.02,13-2011
CERTIFIED CODING ASSOCIATE,40,0.02,13-2011
DATA CENTER DESIGN CONSULTANT,39,0.02,13-2011
CERTIFIED REHABILITATION COUNSELOR,38,0.01,13-2011
QUICKBOOKS CERTIFICATION,37,0.01,13-2011
CERTIFIED PHARMACY TECHNICIAN,36,0.01,13-2011
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),35,0.01,13-2011
CHARTERED LIFE UNDERWRITER (CLU),33,0.01,13-2011
CERTIFIED FINANCIAL ADVISOR,32,0.01,13-2011
CERTIFIED MEDICAL LABORATORY TECHNICIAN,32,0.01,13-2011
CERTIFIED QUALITY ENGINEER,32,0.01,13-2011
PROFESSIONAL ENGINEER,32,0.01,13-2011
CERTIFIED TREASURY PROFESSIONAL,30,0.01,13-2011
PROFESSIONAL DEVELOPMENT,30,0.01,13-2011
TAXATION CERTIFICATION (E.G. GRADUATE TAX CERTIFICATE),30,0.01,13-2011
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,29,0.01,13-2011
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),29,0.01,13-2011
VOCATIONAL REHABILITATION,29,0.01,13-2011
CERTIFIED CASE MANAGER,28,0.01,13-2011
CERTIFIED A+ TECHNICIAN,27,0.01,13-2011
CERTIFIED ADMINISTRATOR,27,0.01,13-2011
FORKLIFT OPERATOR CERTIFICATION,27,0.01,13-2011
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),26,0.01,13-2011
CERTIFIED MEDICAL ASSISTANT,25,0.01,13-2011
GENERAL BUSINESS,25,0.01,13-2011
MANAGEMENT AND SUPERVISION,25,0.01,13-2011
SECURITY+,25,0.01,13-2011
CERTIFIED EVALUATION AND MANAGEMENT CODER,24,0.01,13-2011
CERTIFIED RESEARCH ADMINISTRATOR,24,0.01,13-2011
JAVA CERTIFICATION (E.G. SUN CERTIFIED JAVA ASSOC),24,0.01,13-2011
PARALEGAL CERTIFICATION,24,0.01,13-2011
AMERICAN SOCIETY FOR QUALITY (ASQ) CERTIFICATION,22,0.01,13-2011
CERTIFIED INTERVENTIONAL RADIOLOGY CARDIOVASCULAR CODER,22,0.01,13-2011
NATIONAL CAREER READINESS CERTIFICATE,22,0.01,13-2011
SERIES 27,22,0.01,13-2011
SOCIAL WORK LICENSE,22,0.01,13-2011
CERTIFIED PLAYGROUND SAFETY INSPECTOR,21,0.01,13-2011
NICET II,21,0.01,13-2011
SAFE QUALITY FOOD AUDITOR,21,0.01,13-2011
SENIOR PROFESSIONAL IN HUMAN RESOURCES,21,0.01,13-2011
SERIES 63,21,0.01,13-2011
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,20,0.01,13-2011
CHARTERED FINANCIAL CONSULTANT,20,0.01,13-2011
GLOBAL PROFESSIONAL IN HUMAN RESOURCES,20,0.01,13-2011
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),20,0.01,13-2011
CERTIFIED CLINICAL DOCUMENT SPECIALIST,19,0.01,13-2011
CERTIFIED INDUSTRIAL HYGIENIST,19,0.01,13-2011
CERTIFIED PROCEDURAL CODER,19,0.01,13-2011
CERTIFIED PUBLIC FINANCE OFFICER,19,0.01,13-2011
CERTIFIED SUPPLY CHAIN PROFESSIONAL,19,0.01,13-2011
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),19,0.01,13-2011
PROFESSIONAL IN HUMAN RESOURCES,19,0.01,13-2011
BUSINESS WRITING CERTIFICATE,18,0.01,13-2011
CDL CLASS A,18,0.01,13-2011
CERTIFIED BUSINESS CONTINUITY PROFESSIONAL,18,0.01,13-2011
CERTIFIED ETHICAL HACKER,18,0.01,13-2011
CLINICAL DOCUMENTATION IMPROVEMENT PRACTITIONER,18,0.01,13-2011
CERTIFIED COMPENSATION PROFESSIONAL,17,0.01,13-2011
CERTIFIED SAFETY PROFESSIONAL,17,0.01,13-2011
FINANCE CERTIFICATION,17,0.01,13-2011
MBE CERTIFIED,17,0.01,13-2011
CERTIFIED ENERGY MANAGER,16,0.01,13-2011
COMMERCIAL WIND MAINTAINER (CWM),16,0.01,13-2011
PHARMACY TECHNICIAN CERTIFICATION BOARD (PTCB),16,0.01,13-2011
SAP CERTIFICATION,16,0.01,13-2011
SECURITIES LICENSE,16,0.01,13-2011
APPRAISAL LICENSE,15,0.01,13-2011
BOARD CERTIFIED/BOARD ELIGIBLE,15,0.01,13-2011
CERTIFIED APPRAISER,15,0.01,13-2011
SERIES 3,15,0.01,13-2011
CERTIFICATION IN CONTROL SELF-ASSESSMENT,14,0.01,13-2011
CERTIFIED TEACHER,14,0.01,13-2011
COMPUTER APPLICATIONS,14,0.01,13-2011
COMPUTER OPERATION,14,0.01,13-2011
HOME CARE CERTIFICATE,14,0.01,13-2011
LEAN SIX SIGMA,14,0.01,13-2011
ACCIDENT HEALTH AND LIFE (INSURANCE),13,0.01,13-2011
ADVANCED REGISTERED NURSE PRACTITIONER,13,0.01,13-2011
AMERICAN HEART ASSOCIATION CERTIFICATE,13,0.01,13-2011
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,13,0.01,13-2011
CERTIFIED BUSINESS INTELLIGENCE PROFESSIONAL,13,0.01,13-2011
CERTIFIED HAZARDOUS MATERIALS MANAGER,13,0.01,13-2011
CERTIFIED QUALITY INSPECTOR (CQI),13,0.01,13-2011
OREGON BAR,13,0.01,13-2011
SCRUM,13,0.01,13-2011
CERTIFIED PATIENT ACCOUNT TECHNICIAN,12,0.0,13-2011
PEDIATRIC ADVANCED LIFE SUPPORT (PALS) CERTIFICATION,12,0.0,13-2011
TAX PROFESSIONAL,12,0.0,13-2011
TYPING CERTIFICATION,12,0.0,13-2011
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,11,0.0,13-2011
CERTIFIED FINANCIAL EXAMINER,11,0.0,13-2011
CERTIFIED OFFICIAL,11,0.0,13-2011
CHARTERED ALTERNATIVE INVESTMENT ANALYST,11,0.0,13-2011
COMMISSION LICENSE,11,0.0,13-2011
HEALTH CARE ADMINISTRATION,11,0.0,13-2011
MORTGAGE LICENSE,11,0.0,13-2011
PRINCE2 CERTIFICATION,11,0.0,13-2011
PSYCHOLOGIST LICENSE,11,0.0,13-2011
CERTIFIED ACCOUNTS PAYABLE PROFESSIONAL,10,0.0,13-2011
