Certifications,Job Postings,%,code
CERTIFIED CARGO SECURITY PROFESSIONAL,10,0.0,13-2011
CERTIFIED FINANCIAL MANAGER,10,0.0,13-2011
CERTIFIED GENERAL ACCOUNTANT,10,0.0,13-2011
CERTIFIED HEALTHCARE ACCESS ASSOCIATE,10,0.0,13-2011
CERTIFIED UROLOGY CODER,10,0.0,13-2011
MASTER PROJECT MANAGEMENT,10,0.0,13-2011
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),10,0.0,13-2011
ADP PAYROLL CERTIFICATION,9,0.0,13-2011
CERTIFIED ENVIRONMENTAL AUDITOR,9,0.0,13-2011
CERTIFIED OCCUPATIONAL THERAPY ASSISTANT (COTA),9,0.0,13-2011
CERTIFIED SOFTWARE ASSET MANAGER,9,0.0,13-2011
HAZARDOUS MATERIALS CERTIFICATION,9,0.0,13-2011
LIFE AND HEALTH INSURANCE LICENSE,9,0.0,13-2011
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),9,0.0,13-2011
PHLEBOTOMY CERTIFICATION,9,0.0,13-2011
BASIC CARDIAC LIFE SUPPORT CERTIFICATION,8,0.0,13-2011
BUSINESS APPLICATIONS CERTIFICATE,8,0.0,13-2011
CERTIFIED FAMILY PRACTICE CODER,8,0.0,13-2011
HAZARD ANALYSIS AND CRITICAL CONTROL POINT (HACCP) CERTIFICATION,8,0.0,13-2011
IRS ENROLLED AGENT,8,0.0,13-2011
SIX SIGMA MASTER BLACK BELT,8,0.0,13-2011
ADVANCED CARDIAC LIFE SUPPORT (ACLS) CERTIFICATION,7,0.0,13-2011
AMERICAN HEART ASSOCIATION CERTIFICATION,7,0.0,13-2011
ASSOCIATE OF THE SOCIETY OF ACTUARIES,7,0.0,13-2011
BUILDING PERFORMANCE INSTITUTE (BPI),7,0.0,13-2011
CA LICENSE,7,0.0,13-2011
CERTIFIED FRAUD EXAMINER,167,5.23,13-2061
CERTIFIED ANTI MONEY LAUNDERING,152,4.76,13-2061
HOME HEALTH AIDE,114,3.57,13-2061
CERTIFIED PUBLIC ACCOUNTANT (CPA),111,3.47,13-2061
SECURITY CLEARANCE,31,0.97,13-2061
ADJUSTER CERTIFICATION,30,0.94,13-2061
CERTIFIED REGULATORY COMPLIANCE MANAGER,29,0.91,13-2061
CERTIFIED ESCROW OFFICER,28,0.88,13-2061
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),28,0.88,13-2061
CERTIFIED FINANCIAL EXAMINER,27,0.84,13-2061
CERTIFIED INTERNAL AUDITOR,25,0.78,13-2061
MEDICAL BILLING AND CODING CERTIFICATION,25,0.78,13-2061
SERIES 7,22,0.69,13-2061
CHARTERED PROPERTY CASUALTY UNDERWRITER,21,0.66,13-2061
SOCIAL WORK LICENSE,20,0.63,13-2061
COMMERCIAL DRIVER'S LICENSE,18,0.56,13-2061
CERTIFIED PROFESSIONAL CODER-HOSPITAL OUTPATIENT,16,0.5,13-2061
LICENSED COUNSELOR,15,0.47,13-2061
LICENSED PROFESSIONAL COUNSELOR,15,0.47,13-2061
CERTIFIED PROFESSIONAL CODER-PAYER,14,0.44,13-2061
INSURANCE LICENSE,14,0.44,13-2061
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),13,0.41,13-2061
POLICE OFFICER,13,0.41,13-2061
CERTIFIED CODING SPECIALIST,12,0.38,13-2061
CERTIFIED PROFESSIONAL CODER,12,0.38,13-2061
CHARTERED FINANCIAL ANALYST (CFA),12,0.38,13-2061
CHARTERED LIFE UNDERWRITER (CLU),12,0.38,13-2061
SANS/GIAC CERTIFICATION,10,0.31,13-2061
CERTIFIED A+ TECHNICIAN,9,0.28,13-2061
INVESTMENT ADVISOR,9,0.28,13-2061
REGISTERED HEALTH INFORMATION TECHNICIAN,8,0.25,13-2061
CONTRACTORS LICENSE,7,0.22,13-2061
BUSINESS ANALYSIS CERTIFICATE,6,0.19,13-2061
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,6,0.19,13-2061
CERTIFIED BUSINESS ANALYSIS PROFESSIONAL,6,0.19,13-2061
LAW ENFORCEMENT CERTIFICATION,6,0.19,13-2061
NOTARY LICENSE,6,0.19,13-2061
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),5,0.16,13-2061
CHILD WELFARE CERTIFICATE,5,0.16,13-2061
IT INFRASTRUCTURE LIBRARY,5,0.16,13-2061
REAL ESTATE CERTIFICATION,5,0.16,13-2061
CERTIFIED ENERGY MANAGER,4,0.13,13-2061
CERTIFIED INFORMATION SECURITY MANAGER (CISM),4,0.13,13-2061
CERTIFIED ORTHOTIST,4,0.13,13-2061
CFI CERTIFIED,4,0.13,13-2061
LICENSED MASTER SOCIAL WORKER,4,0.13,13-2061
REGISTERED HEALTH INFORMATION ADMINISTRATOR,4,0.13,13-2061
REGISTERED RADIOLOGIST ASSISTANT,4,0.13,13-2061
SERIES 6,4,0.13,13-2061
CERTIFIED COMPENSATION PROFESSIONAL,3,0.09,13-2061
CERTIFIED COMPLIANCE & ETHICS PROFESSIONAL,3,0.09,13-2061
CERTIFIED FINANCIAL PLANNER,3,0.09,13-2061
CERTIFIED INSURANCE COUNSELOR,3,0.09,13-2061
CERTIFIED PHARMACY TECHNICIAN,3,0.09,13-2061
CERTIFIED PROFESSIONAL COMPLIANCE OFFICER,3,0.09,13-2061
CERTIFIED QUALITY AUDITOR,3,0.09,13-2061
CERTIFIED RISK PROFESSIONAL,3,0.09,13-2061
CERTIFIED TEACHER,3,0.09,13-2061
FLORIDA BAR,3,0.09,13-2061
LICENSED MORTGAGE LOAN ORIGINATOR,3,0.09,13-2061
LICENSED ORTHOTIST,3,0.09,13-2061
PARALEGAL CERTIFICATION,3,0.09,13-2061
ADVANCED PROGRAMMER CERTIFICATION,2,0.06,13-2061
CERTIFIED ETHICAL HACKER,2,0.06,13-2061
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,2,0.06,13-2061
CERTIFIED MANAGEMENT ACCOUNTANT (CMA),2,0.06,13-2061
CERTIFIED PEACE OFFICER,2,0.06,13-2061
CERTIFIED PROFESSIONAL MEDICAL AUDITOR,2,0.06,13-2061
COMPANY LICENSED,2,0.06,13-2061
DOMESTIC VIOLENCE,2,0.06,13-2061
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),2,0.06,13-2061
FIRE INSPECTOR,2,0.06,13-2061
FIRST AID CPR AED,2,0.06,13-2061
GERIATRIC NURSING ASSISTANT,2,0.06,13-2061
INSTITUTE OF INTERNAL AUDITORS (IIA),2,0.06,13-2061
INVESTIGATOR I,2,0.06,13-2061
LEGAL ASSISTANT,2,0.06,13-2061
SECURITY+,2,0.06,13-2061
SERIES 24,2,0.06,13-2061
SIX SIGMA CERTIFICATION,2,0.06,13-2061
ACCIDENT HEALTH AND LIFE (INSURANCE),1,0.03,13-2061
ACCREDITED VETERINARIAN,1,0.03,13-2061
AMERICAN INSTITUTE OF CERTIFIED PLANNERS,1,0.03,13-2061
BASIC CARDIAC LIFE SUPPORT CERTIFICATION,1,0.03,13-2061
BILINGUAL CERTIFICATION,1,0.03,13-2061
BRANCH MANAGER CERTIFICATE,1,0.03,13-2061
CALIFORNIA BAR,1,0.03,13-2061
CASINO GAMING LICENSE,1,0.03,13-2061
CERTIFIED AML SPECIALIST,1,0.03,13-2061
CERTIFIED BUSINESS ANALYST PROFESSIONAL,1,0.03,13-2061
CERTIFIED GOVERNMENT AUDIT PROFESSIONAL,1,0.03,13-2061
CERTIFIED MEDICAL LABORATORY TECHNICIAN,1,0.03,13-2061
CERTIFIED SUPPLY CHAIN PROFESSIONAL,1,0.03,13-2061
COMMERCIAL WIND MAINTAINER (CWM),1,0.03,13-2061
ENGINEER IN TRAINING CERTIFICATION,1,0.03,13-2061
HAZARDOUS MATERIALS CERTIFICATION,1,0.03,13-2061
HOME CARE CERTIFICATE,1,0.03,13-2061
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),1,0.03,13-2061
LEAN CERTIFICATION,1,0.03,13-2061
MBE CERTIFIED,1,0.03,13-2061
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),1,0.03,13-2061
MORTGAGE LICENSE,1,0.03,13-2061
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),1,0.03,13-2061
PAWNBROKER,1,0.03,13-2061
PRIVATE INVESTIGATION,1,0.03,13-2061
PROFESSIONAL ENGINEER,1,0.03,13-2061
SOX (SARBANES-OXLEY) CERTIFICATION,1,0.03,13-2061
SECURITY CLEARANCE,11575,10.97,15-1142
SECURITY+,6277,5.95,15-1142
CISCO CERTIFIED NETWORK ASSOCIATE,6225,5.9,15-1142
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),4283,4.06,15-1142
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),3419,3.24,15-1142
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),2426,2.3,15-1142
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),2186,2.07,15-1142
NETWORK+ CERTIFIED,2056,1.95,15-1142
MICROSOFT CERTIFIED PROFESSIONAL (MCP),1745,1.65,15-1142
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),1369,1.3,15-1142
CERTIFIED A+ TECHNICIAN,1297,1.23,15-1142
SANS/GIAC CERTIFICATION,1283,1.22,15-1142
IT INFRASTRUCTURE LIBRARY,1268,1.2,15-1142
SYSTEMS SECURITY CERTIFIED PRACTITIONER,1163,1.1,15-1142
RED HAT CERTIFIED SYSTEM ADMINSTRATOR,1062,1.01,15-1142
VMWARE CERTIFIED PROFESSIONAL,1042,0.99,15-1142
RED HAT CERTIFIED ENGINEER,864,0.82,15-1142
LINUX+,744,0.7,15-1142
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),731,0.69,15-1142
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),585,0.55,15-1142
CERTIFIED SYSTEM ADMINISTRATOR,553,0.52,15-1142
MICROSOFT CERTIFIED SYSTEMS ENGINEER (MCSE),503,0.48,15-1142
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),456,0.43,15-1142
SERVER+,372,0.35,15-1142
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),284,0.27,15-1142
MICROSOFT CERTIFIED IT PROFESSIONAL (MCITP),257,0.24,15-1142
CERTIFIED INFORMATION SECURITY MANAGER (CISM),210,0.2,15-1142
WELDING CERTIFICATION (E.G. AWS CERTIFIED WELDER),207,0.2,15-1142
SECURITY CERTIFIED NETWORK PROFESSIONAL,181,0.17,15-1142
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,172,0.16,15-1142
CISCO CERTIFIED DESIGN PROFESSIONAL (CCDP),158,0.15,15-1142
JUNIPER NETWORKS CERTIFIED INTERNET ASSOCIATE,157,0.15,15-1142
SIX SIGMA CERTIFICATION,151,0.14,15-1142
CERTIFIED ADMINISTRATOR,139,0.13,15-1142
CISCO CERTIFIED SECURITY PROFESSIONAL,139,0.13,15-1142
CERTIFIED NOVELL ADMINISTRATOR,137,0.13,15-1142
MICROSOFT CERTIFIED DESKTOP SUPPORT TECHNICIAN,134,0.13,15-1142
WINDOWS CERTIFICATION (E.G. WINDOWS 7 CERT),130,0.12,15-1142
CERTIFIED NETWORK ADMINISTRATOR,129,0.12,15-1142
VMWARE CERTIFIED,126,0.12,15-1142
INFORMATION TECHNOLOGY CERTIFICATION,118,0.11,15-1142
RED HAT CERTIFIED ARCHITECT,110,0.1,15-1142
COMMERCIAL DRIVER'S LICENSE,104,0.1,15-1142
SECURITY CERTIFIED NETWORK ARCHITECT,98,0.09,15-1142
JUNIPER NETWORKS CERTIFIED INTERNET PROFESSIONAL,95,0.09,15-1142
SCRUM,89,0.08,15-1142
JUNIPER NETWORKS CERTIFIED INTERNET SPECIALIST,88,0.08,15-1142
FIRST AID CPR AED,82,0.08,15-1142
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),80,0.08,15-1142
HELP DESK CERTIFICATION (E.G. COMPTIA),76,0.07,15-1142
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),68,0.06,15-1142
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,66,0.06,15-1142
CERTIFIED SCRUM PROFESSIONAL,66,0.06,15-1142
SALESFORCE.COM ADMINISTRATOR,66,0.06,15-1142
CASINO GAMING LICENSE,65,0.06,15-1142
CHECK POINT CERTIFIED SECURITY EXPERT,65,0.06,15-1142
JUNIPER NETWORKS CERTIFIED INTERNET EXPERT,65,0.06,15-1142
CERTIFIED COMPUTING PROFESSIONAL,58,0.05,15-1142
COMPUTER SCIENCE CERTIFICATION,57,0.05,15-1142
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,56,0.05,15-1142
CITRIX CERTIFIED ADVANCED ADMINISTRATOR (CCAA),56,0.05,15-1142
CITRIX CERTIFIED INTEGRATION ARCHITECT,53,0.05,15-1142
CISCO CERTIFIED VOICE PROFESSIONAL (CCVP),52,0.05,15-1142
PASSIVE INTERMODULATION TESTING (PIM),52,0.05,15-1142
CERTIFIED ETHICAL HACKER,51,0.05,15-1142
CERTIFIED INFORMATION SYSTEM SECURITY PROFESSIONAL,51,0.05,15-1142
SIX SIGMA GREEN BELT,51,0.05,15-1142
APPLE CERTIFIED MACINTOSH TECHNICIAN,50,0.05,15-1142
MANAGEMENT AND SUPERVISION,50,0.05,15-1142
CERTIFIED ENTRY NETWORKING TECHNICIAN,48,0.05,15-1142
CERTIFIED NOVELL ENGINEER,47,0.04,15-1142
ADVANCED CERTIFICATE,46,0.04,15-1142
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,42,0.04,15-1142
CERTIFIED FINANCIAL PLANNER,41,0.04,15-1142
MBE CERTIFIED,41,0.04,15-1142
QUALITY MANAGEMENT,40,0.04,15-1142
APPLE CERTIFIED SUPPORT PROFESSIONAL,39,0.04,15-1142
CERTIFIED INFORMATION TECHNOLOGY PROFESSIONAL,38,0.04,15-1142
SDB CERTIFIED,36,0.03,15-1142
CDL CLASS C,35,0.03,15-1142
WINDOWS SERVER CERTIFICATION,35,0.03,15-1142
CHECK POINT CERTIFIED SECURITY ADMINISTRATOR,34,0.03,15-1142
CITRIX CERTIFIED ADMINISTRATOR,34,0.03,15-1142
AMERICAN REGISTRY OF RADIOLOGIC TECHNOLOGISTS (ARRT),33,0.03,15-1142
WASTEWATER TREATMENT PLANT OPERATOR,33,0.03,15-1142
CERTIFIED LINUX ADMINISTRATOR,31,0.03,15-1142
EPIC CERTIFICATION,31,0.03,15-1142
LEAN CERTIFICATION,31,0.03,15-1142
CHECK POINT CERTIFIED MANAGED SECURITY EXPERT,30,0.03,15-1142
DATABASE ADMINISTRATOR (DBA),30,0.03,15-1142
SIX SIGMA BLACK BELT,29,0.03,15-1142
CERTIFICATE IN SCHOOL ADMINISTRATION,26,0.02,15-1142
COMPUTER INFORMATION SYSTEMS CERTIFICATE,26,0.02,15-1142
APPLE CERTIFIED TECHNICAL COORDINATOR,24,0.02,15-1142
DATA CENTER DESIGN CONSULTANT,24,0.02,15-1142
ELECTRICIAN CERTIFICATION,24,0.02,15-1142
LEAN SIX SIGMA,24,0.02,15-1142
MICROSOFT CERTIFIED APPLICATION SPECIALIST (MCAS),24,0.02,15-1142
REGISTERED HAZARDOUS SUBSTANCES SPECIALIST,24,0.02,15-1142
CERTIFIED NETWORK ENGINEER,23,0.02,15-1142
INFORMATION SYSTEMS CERTIFICATION,23,0.02,15-1142
COMPUTER ENGINEERING CERTIFICATE,22,0.02,15-1142
SAP CERTIFICATION,22,0.02,15-1142
CERTIFIED QUALITY AUDITOR,21,0.02,15-1142
MICROSOFT OFFICE CERTIFICATION,21,0.02,15-1142
PROFESSIONAL IN HUMAN RESOURCES,21,0.02,15-1142
CERTIFIED HIPAA PROFESSIONAL,20,0.02,15-1142
CERTIFIED PUBLIC ACCOUNTANT (CPA),20,0.02,15-1142
HDI DESKTOP SUPPORT TECHNICIAN,20,0.02,15-1142
POLYGRAPH,20,0.02,15-1142
PROFESSIONAL ENGINEER,20,0.02,15-1142
SERIES 7,20,0.02,15-1142
CISCO CERTIFIED DESIGN ASSOCIATE (CCDA),19,0.02,15-1142
SENIOR PROFESSIONAL IN HUMAN RESOURCES,19,0.02,15-1142
TOGAF,19,0.02,15-1142
CERTIFIED CARDIOGRAPHIC TECHNICIAN,18,0.02,15-1142
ORACLE DATABASE CERTIFICATION,18,0.02,15-1142
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,17,0.02,15-1142
IT SERVICE MANAGEMENT,17,0.02,15-1142
TECHNICAL TRAINING CERTIFICATION,17,0.02,15-1142
PROJECT+,16,0.02,15-1142
SOX (SARBANES-OXLEY) CERTIFICATION,16,0.02,15-1142
ACCESS MANAGEMENT,15,0.01,15-1142
AMERICAN HEART ASSOCIATION CERTIFICATE,15,0.01,15-1142
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,15,0.01,15-1142
CERTIFIED UROLOGY CODER,15,0.01,15-1142
NATIONAL CAREER READINESS CERTIFICATE,15,0.01,15-1142
PRINCE2 CERTIFICATION,15,0.01,15-1142
REGISTERED HEALTH INFORMATION ADMINISTRATOR,15,0.01,15-1142
SEATING AND MOBILITY SPECIALIST,15,0.01,15-1142
AMERICAN REGISTRY FOR DIAGNOSTIC MEDICAL SONOGRAPHY (ARDMS),14,0.01,15-1142
BASIC CARDIAC LIFE SUPPORT CERTIFICATION,14,0.01,15-1142
CERTIFIED TEACHER,14,0.01,15-1142
HUMAN RESOURCES (E.G. GPHR),14,0.01,15-1142
UNIX CERTIFICATION,14,0.01,15-1142
AIRFRAME AND POWERPLANT (A AND P) CERTIFICATION,13,0.01,15-1142
CERTIFIED ANTI MONEY LAUNDERING,13,0.01,15-1142
CERTIFIED INTERNAL AUDITOR,13,0.01,15-1142
MASTER PROJECT MANAGEMENT,13,0.01,15-1142
RED HAT CERTIFIED DATACENTER SPECIALIST,13,0.01,15-1142
ADMINISTRATOR I CERTIFICATE,12,0.01,15-1142
CERTIFIED NUCLEAR MEDICINE TECHNOLOGIST,12,0.01,15-1142
COMPUTER TECHNOLOGY,12,0.01,15-1142
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),12,0.01,15-1142
REGISTERED HEALTH INFORMATION TECHNICIAN,12,0.01,15-1142
SOCIAL WORK LICENSE,12,0.01,15-1142
BOARD CERTIFIED/BOARD ELIGIBLE,11,0.01,15-1142
CAREER DEVELOPMENT,11,0.01,15-1142
CDL CLASS A,11,0.01,15-1142
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION CERTIFICATION,11,0.01,15-1142
TEACHING CERTIFICATE,11,0.01,15-1142
TYPING CERTIFICATION,11,0.01,15-1142
AUTOMOTIVE SERVICE EXCELLENCE (ASE) CERTIFICATION,10,0.01,15-1142
CERTIFIED IN WINDOWS,10,0.01,15-1142
CERTIFIED NETWORK PROFESSIONAL,10,0.01,15-1142
CERTIFIED PHARMACY TECHNICIAN,10,0.01,15-1142
PHLEBOTOMY CERTIFICATION,10,0.01,15-1142
BICSI CERTIFIED,9,0.01,15-1142
CERTIFIED INTERNAL MEDICINE CODER,9,0.01,15-1142
CERTIFIED IT PROFESSIONAL,9,0.01,15-1142
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),9,0.01,15-1142
INSTITUTIONAL REVIEW BOARD (IRB),9,0.01,15-1142
RED HAT CERTIFIED SECURITY SPECIALIST,9,0.01,15-1142
SERIES 6,9,0.01,15-1142
CERTIFIED GOVERNMENT CONTRACTOR,8,0.01,15-1142
CERTIFIED LINUX ENGINEER,8,0.01,15-1142
CERTIFIED SOFTWARE PROCESS ENGINEER,8,0.01,15-1142
CITRIX CERTIFIED ENTERPRISE ENGINEER (CCEE),8,0.01,15-1142
ENVIRONMENTAL PROTECTION AGENCY CERTIFICATION,8,0.01,15-1142
FORKLIFT OPERATOR CERTIFICATION,8,0.01,15-1142
LINUX PROFESSIONAL INSTITUTE CERTIFICATION,8,0.01,15-1142
NURSING HOME ADMINISTRATOR,8,0.01,15-1142
OPERATIONS CERTIFICATION,8,0.01,15-1142
AMERICAN INSTITUTE OF CERTIFIED PLANNERS,7,0.01,15-1142
AMERICAN SPEECH - LANGUAGE HEARING ASSOCIATION,7,0.01,15-1142
CERTIFIED MEDICAL ASSISTANT,7,0.01,15-1142
CERTIFIED MEDICAL LABORATORY TECHNICIAN,7,0.01,15-1142
CERTIFIED PAYROLL PROFESSIONAL,7,0.01,15-1142
FINANCIAL RISK MANAGER,7,0.01,15-1142
LICENSED PROFESSIONAL SURVEYOR,7,0.01,15-1142
AGILE CERTIFICATION,6,0.01,15-1142
BIOTECHNOLOGY,6,0.01,15-1142
CERTIFIED APPLICATION DEVELOPER,6,0.01,15-1142
CERTIFIED FRAUD EXAMINER,6,0.01,15-1142
CERTIFIED IN THE GOVERNANCE OF ENTERPRISE IT,6,0.01,15-1142
CERTIFIED MEDICAL TECHNOLOGIST,6,0.01,15-1142
CITRIX CERTIFIED ENTERPRISE ADMINISTRATOR,6,0.01,15-1142
CLINICAL LABORATORY SCIENTIST (CLS),6,0.01,15-1142
CONTRACTORS LICENSE,6,0.01,15-1142
ENGINEER IN TRAINING CERTIFICATION,6,0.01,15-1142
HOME CARE CERTIFICATE,6,0.01,15-1142
INSURANCE LICENSE,6,0.01,15-1142
INVESTMENT ADVISOR,6,0.01,15-1142
PROGRAM MANAGEMENT CERTIFICATION,6,0.01,15-1142
QUALITY MANAGEMENT CERTIFICATION (E.G. CMQ),6,0.01,15-1142
REGISTERED RADIOLOGIC TECHNOLOGIST,6,0.01,15-1142
SERIES 63,6,0.01,15-1142
AMERICAN PHYSICAL THERAPY ASSOCIATION (APTA),5,0.0,15-1142
AMERICAN SOCIETY FOR QUALITY (ASQ) CERTIFICATION,5,0.0,15-1142
AUDITOR CERTIFICATION,5,0.0,15-1142
SECURITY CLEARANCE,8944,3.88,13-1111
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),6059,2.63,13-1111
CERTIFIED PUBLIC ACCOUNTANT (CPA),2817,1.22,13-1111
SIX SIGMA CERTIFICATION,2197,0.95,13-1111
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),1694,0.73,13-1111
SIX SIGMA BLACK BELT,1524,0.66,13-1111
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),1146,0.5,13-1111
BUSINESS ANALYSIS CERTIFICATE,1139,0.49,13-1111
SERIES 7,1012,0.44,13-1111
INSURANCE LICENSE,989,0.43,13-1111
CERTIFIED INFORMATION SECURITY MANAGER (CISM),956,0.41,13-1111
IT INFRASTRUCTURE LIBRARY,900,0.39,13-1111
SIX SIGMA GREEN BELT,834,0.36,13-1111
SANS/GIAC CERTIFICATION,722,0.31,13-1111
LEAN SIX SIGMA,701,0.3,13-1111
SCRUM,663,0.29,13-1111
CERTIFIED BUSINESS ANALYSIS PROFESSIONAL,543,0.24,13-1111
CHARTERED PROPERTY CASUALTY UNDERWRITER,452,0.2,13-1111
CERTIFIED FINANCIAL PLANNER,385,0.17,13-1111
CHARTERED LIFE UNDERWRITER (CLU),328,0.14,13-1111
CDL CLASS A,286,0.12,13-1111
SECURITY+,279,0.12,13-1111
TOGAF,279,0.12,13-1111
LEAN CERTIFICATION,264,0.11,13-1111
SERIES 6,253,0.11,13-1111
LICENSED VOCATIONAL NURSE (LVN),247,0.11,13-1111
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,229,0.1,13-1111
REGISTERED HEALTH INFORMATION TECHNICIAN,219,0.09,13-1111
MASTER PROJECT MANAGEMENT,215,0.09,13-1111
REGISTERED HEALTH INFORMATION ADMINISTRATOR,214,0.09,13-1111
SERIES 66,212,0.09,13-1111
CISCO CERTIFIED NETWORK ASSOCIATE,211,0.09,13-1111
CHARTERED FINANCIAL ANALYST (CFA),191,0.08,13-1111
AGILE CERTIFICATION,185,0.08,13-1111
REAL ESTATE CERTIFICATION,183,0.08,13-1111
INTERIOR DESIGN CERTIFICATION,171,0.07,13-1111
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,169,0.07,13-1111
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,164,0.07,13-1111
CERTIFIED SENIOR SYSTEM ARCHITECT,163,0.07,13-1111
SOCIAL WORK LICENSE,162,0.07,13-1111
CERTIFIED ADMINISTRATOR,159,0.07,13-1111
CERTIFIED BUSINESS ANALYST PROFESSIONAL,159,0.07,13-1111
SIX SIGMA MASTER BLACK BELT,153,0.07,13-1111
CERTIFIED FRAUD EXAMINER,150,0.07,13-1111
FINANCIAL RISK MANAGER,150,0.07,13-1111
PHARMACY TECHNICIAN CERTIFICATION BOARD (PTCB),150,0.07,13-1111
PROFESSIONAL IN HUMAN RESOURCES,146,0.06,13-1111
CERTIFIED RISK MANAGER,141,0.06,13-1111
CERTIFIED CODING SPECIALIST,140,0.06,13-1111
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),140,0.06,13-1111
