Certifications,Job Postings,%,code
PROPERTY AND CASUALTY LICENSE,63,0.05,13-1161
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,59,0.05,13-1161
FIRST AID CPR AED,58,0.05,13-1161
SIX SIGMA CERTIFICATION,56,0.04,13-1161
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),55,0.04,13-1161
CERTIFIED HIPAA PROFESSIONAL,52,0.04,13-1161
AMERICAN INSTITUTE OF CERTIFIED PLANNERS,50,0.04,13-1161
INSTITUTIONAL REVIEW BOARD (IRB),48,0.04,13-1161
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),47,0.04,13-1161
CHARTERED LIFE UNDERWRITER (CLU),46,0.04,13-1161
SANS/GIAC CERTIFICATION,46,0.04,13-1161
CHARTERED ADVISOR FOR SENIOR LIVING,45,0.04,13-1161
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),44,0.03,13-1161
COMMERCIAL DRIVER'S LICENSE,43,0.03,13-1161
CISCO CERTIFIED NETWORK ASSOCIATE,39,0.03,13-1161
CHARTERED FINANCIAL CONSULTANT,37,0.03,13-1161
CHARTERED FINANCIAL ANALYST (CFA),31,0.02,13-1161
SERIES 63,31,0.02,13-1161
TRAINING FOR INTERVENTION PROCEDURES (TIPS) CERTIFICATION,30,0.02,13-1161
CERTIFIED FINANCIAL PLANNER,27,0.02,13-1161
HOME CARE CERTIFICATE,27,0.02,13-1161
IT INFRASTRUCTURE LIBRARY,27,0.02,13-1161
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,25,0.02,13-1161
CERTIFIED PROFESSIONAL SERVICES MARKETER,23,0.02,13-1161
SERIES 24,23,0.02,13-1161
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,22,0.02,13-1161
CERTIFIED ENERGY MANAGER,22,0.02,13-1161
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),22,0.02,13-1161
SIX SIGMA GREEN BELT,22,0.02,13-1161
CERTIFIED MEETING PROFESSIONAL,21,0.02,13-1161
FORKLIFT OPERATOR CERTIFICATION,21,0.02,13-1161
FINANCIAL RISK MANAGER,20,0.02,13-1161
INFORMATION TECHNOLOGY CERTIFICATION,20,0.02,13-1161
PARALEGAL CERTIFICATION,19,0.01,13-1161
CHARTERED ALTERNATIVE INVESTMENT ANALYST,18,0.01,13-1161
CERTIFIED SUPPLY CHAIN PROFESSIONAL,17,0.01,13-1161
CDL CLASS A,16,0.01,13-1161
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,16,0.01,13-1161
LEAN SIX SIGMA,16,0.01,13-1161
MICROSOFT CERTIFIED PROFESSIONAL (MCP),16,0.01,13-1161
SALESFORCE.COM ADMINISTRATOR,16,0.01,13-1161
CERTIFIED INSURANCE COUNSELOR,15,0.01,13-1161
MASTER PROJECT MANAGEMENT,15,0.01,13-1161
NATIONAL CAREER READINESS CERTIFICATE,15,0.01,13-1161
CERTIFIED INFORMATION SECURITY MANAGER (CISM),14,0.01,13-1161
LICENSED VOCATIONAL NURSE (LVN),14,0.01,13-1161
MICROSOFT OFFICE CERTIFICATION,14,0.01,13-1161
VARIABLE ANNUITY LICENSE,14,0.01,13-1161
CONTRACTORS LICENSE,13,0.01,13-1161
LICENSED MORTGAGE LOAN ORIGINATOR,13,0.01,13-1161
NETWORK+ CERTIFIED,13,0.01,13-1161
SCRUM,13,0.01,13-1161
SIX SIGMA BLACK BELT,13,0.01,13-1161
CERTIFIED CARGO SECURITY PROFESSIONAL,12,0.01,13-1161
CERTIFIED CUSTOMER SERVICE SPECIALIST (CSS),12,0.01,13-1161
CERTIFIED MEETING PLANNER,12,0.01,13-1161
ESTHIOLOGY LICENSE,12,0.01,13-1161
LEAN CERTIFICATION,12,0.01,13-1161
LIFE AND HEALTH INSURANCE LICENSE,12,0.01,13-1161
PEST CONTROL APPLICATOR,12,0.01,13-1161
PROFESSIONAL ENGINEER,12,0.01,13-1161
REGISTERED DIETITIAN,12,0.01,13-1161
SECURITIES LICENSE,12,0.01,13-1161
SERIES 65,12,0.01,13-1161
CERTIFIED MECHANICAL INSPECTOR,11,0.01,13-1161
DATA CENTER DESIGN CONSULTANT,11,0.01,13-1161
IPMA CERTIFIED PROJECT MANAGEMENT ASSOCIATE,11,0.01,13-1161
AMERICAN SOCIETY FOR QUALITY (ASQ) CERTIFICATION,10,0.01,13-1161
AUTOMATION CERTIFICATION,10,0.01,13-1161
CERTIFIED TREASURY PROFESSIONAL,10,0.01,13-1161
SERIES 3,10,0.01,13-1161
SERVSAFE,10,0.01,13-1161
ACCIDENT HEALTH AND LIFE (INSURANCE),9,0.01,13-1161
COMMISSION LICENSE,9,0.01,13-1161
INSURANCE AGENT CERTIFICATION,9,0.01,13-1161
SALES AND MARKETING,9,0.01,13-1161
ADVANCED CERTIFICATE,8,0.01,13-1161
CAREER DEVELOPMENT,8,0.01,13-1161
CERTIFIED ADMINISTRATOR,8,0.01,13-1161
CERTIFIED MEDICAL ASSISTANT,8,0.01,13-1161
CERTIFIED MEDICAL LABORATORY TECHNICIAN,8,0.01,13-1161
CERTIFIED REGULATORY COMPLIANCE MANAGER,8,0.01,13-1161
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),8,0.01,13-1161
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),8,0.01,13-1161
PRIVATE INVESTIGATION,8,0.01,13-1161
PROJECT+,8,0.01,13-1161
QUALITY MANAGEMENT,8,0.01,13-1161
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,7,0.01,13-1161
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,7,0.01,13-1161
CERTIFIED COMMERCIAL INVESTMENT MEMBER (CCIM),7,0.01,13-1161
COMMUNITY SERVICE,7,0.01,13-1161
EVENT PLANNING,7,0.01,13-1161
FACILITY MANAGEMENT PROFESSIONAL,7,0.01,13-1161
PROFESSIONAL IN HUMAN RESOURCES,7,0.01,13-1161
PROGRAMMING CERTIFICATION (E.G. JAVA PROGRAMMING CERT),7,0.01,13-1161
SECURITY+,7,0.01,13-1161
SOCIAL WORK LICENSE,7,0.01,13-1161
AIRS CERTIFICATION,6,0.0,13-1161
CDL CLASS C,6,0.0,13-1161
CERTIFIED A+ TECHNICIAN,6,0.0,13-1161
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),6,0.0,13-1161
CERTIFIED USABILITY ANALYST,6,0.0,13-1161
EMERGENCY MEDICAL TECHNICIAN (EMT),6,0.0,13-1161
GRAPHIC DESIGN CERTIFICATION,6,0.0,13-1161
LEADERSHIP AND MANAGEMENT,6,0.0,13-1161
MORTGAGE LOAN OFFICER,6,0.0,13-1161
TECHNICAL WRITING CERTIFICATION,6,0.0,13-1161
ADOBE CERTIFIED EXPERT (ACE),5,0.0,13-1161
AGILE CERTIFICATION,5,0.0,13-1161
BASIC EDUCATION CERTIFICATE,5,0.0,13-1161
CERTIFIED ADMINISTRATIVE PROFESSIONAL,5,0.0,13-1161
CERTIFIED CLINICAL DOCUMENT SPECIALIST,5,0.0,13-1161
CERTIFIED PHARMACY TECHNICIAN,5,0.0,13-1161
CERTIFIED TEACHER,5,0.0,13-1161
COMPUTER APPLICATIONS,5,0.0,13-1161
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),5,0.0,13-1161
PHARMACIST,5,0.0,13-1161
SERIES 66,5,0.0,13-1161
ADVANCED REGISTERED NURSE PRACTITIONER,4,0.0,13-1161
AIRFRAME AND POWERPLANT (A AND P) CERTIFICATION,4,0.0,13-1161
BLUEPRINT CERTIFIED,4,0.0,13-1161
BOARD CERTIFIED/BOARD ELIGIBLE,4,0.0,13-1161
CERTIFIED COMPUTER EXAMINER,4,0.0,13-1161
CERTIFIED EMPLOYEE BENEFIT SPECIALIST (CEBS),4,0.0,13-1161
CERTIFIED HAZARDOUS MATERIALS MANAGER,4,0.0,13-1161
CERTIFIED MANAGEMENT ACCOUNTANT (CMA),4,0.0,13-1161
CERTIFIED PROFESSIONAL SECRETARY,4,0.0,13-1161
CIVIL SERVICE CERTIFICATION,4,0.0,13-1161
ELECTRICIAN CERTIFICATION,4,0.0,13-1161
GOOD CONDUCT,4,0.0,13-1161
GRAPHIC ARTS,4,0.0,13-1161
HEALTH AND LIFE INSURANCE LICENSE,4,0.0,13-1161
HOME HEALTH AIDE,4,0.0,13-1161
LABORATORY ANIMAL TECHNICIAN,4,0.0,13-1161
LINE & ANTENNA SWEEPING (LAS),4,0.0,13-1161
MANAGEMENT AND SUPERVISION,4,0.0,13-1161
MBE CERTIFIED,4,0.0,13-1161
MEDICAL BILLING AND CODING CERTIFICATION,4,0.0,13-1161
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),4,0.0,13-1161
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),4,0.0,13-1161
MORTGAGE LICENSE,4,0.0,13-1161
NURSE PRACTITIONER,4,0.0,13-1161
PHLEBOTOMY CERTIFICATION,4,0.0,13-1161
PURCHASING CERTIFICATION,4,0.0,13-1161
REGISTERED DIAGNOSTIC CARDIAC SONOGRAPHER,4,0.0,13-1161
SENIOR PROFESSIONAL IN HUMAN RESOURCES,4,0.0,13-1161
TEACHING CERTIFICATE,4,0.0,13-1161
ADMINISTRATOR CERT,3,0.0,13-1161
ADOBE PHOTOSHOP CERTIFICATE,3,0.0,13-1161
AMERICAN HEART ASSOCIATION CERTIFICATE,3,0.0,13-1161
BUSINESS LICENSE,3,0.0,13-1161
CERTIFIED ASSOCIATE BUSINESS ANALYST,3,0.0,13-1161
CERTIFIED DEALER,3,0.0,13-1161
CERTIFIED FLOODPLAIN MANAGER,3,0.0,13-1161
CERTIFIED HEALTHCARE ACCESS ASSOCIATE,3,0.0,13-1161
CERTIFIED IN LEAN MANUFACTURING,3,0.0,13-1161
CERTIFIED INTERNAL MEDICINE CODER,3,0.0,13-1161
CERTIFIED PEDIATRIC NURSE,3,0.0,13-1161
CERTIFIED PSYCHIATRIC REHABILITATION PRACTITIONER,3,0.0,13-1161
COMMERCIAL WIND MAINTAINER (CWM),3,0.0,13-1161
CONCERT PROMOTER,3,0.0,13-1161
HAZARDOUS WASTE TRANSPORTATION CERTIFICATE,3,0.0,13-1161
LICENSED PROFESSIONAL COUNSELOR,3,0.0,13-1161
LINUX+,3,0.0,13-1161
PLUMBING LICENSE,3,0.0,13-1161
PROGRAM MANAGEMENT CERTIFICATION,3,0.0,13-1161
REGISTERED CARDIAC SONOGRAPHER,3,0.0,13-1161
SERVER+,3,0.0,13-1161
SPECIALIST IN POISON INFORMATION,3,0.0,13-1161
TOGAF,3,0.0,13-1161
ADMINISTRATIVE SUPPORT CERTIFICATION,2,0.0,13-1161
AMERICAN HEART ASSOCIATION CERTIFICATION,2,0.0,13-1161
AMERICAN SPEECH - LANGUAGE HEARING ASSOCIATION,2,0.0,13-1161
BABYSITTER'S,2,0.0,13-1161
BUILDING MAINTENANCE,2,0.0,13-1161
CERTIFICATE IN SCHOOL ADMINISTRATION,2,0.0,13-1161
CERTIFIED ANTI MONEY LAUNDERING,2,0.0,13-1161
CERTIFIED ASSOCIATION EXECUTIVE,2,0.0,13-1161
CERTIFIED ETHICAL HACKER,2,0.0,13-1161
CERTIFIED FLIGHT REGISTERED NURSE,2,0.0,13-1161
CERTIFIED HEALTH EDUCATION SPECIALIST,2,0.0,13-1161
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,2,0.0,13-1161
CERTIFIED INFECTION CONTROL,2,0.0,13-1161
CERTIFIED INTERNATIONAL INVESTMENT ANALYST,2,0.0,13-1161
CERTIFIED LIFEGUARD,2,0.0,13-1161
CERTIFIED MANAGER OF COMMUNITY ASSOCIATIONS,2,0.0,13-1161
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),34952,34.3,15-1122
SANS/GIAC CERTIFICATION,15770,15.47,15-1122
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),14936,14.66,15-1122
SECURITY CLEARANCE,13179,12.93,15-1122
CERTIFIED INFORMATION SECURITY MANAGER (CISM),12316,12.09,15-1122
SECURITY+,5085,4.99,15-1122
CISCO CERTIFIED NETWORK ASSOCIATE,4753,4.66,15-1122
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),3347,3.28,15-1122
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,2842,2.79,15-1122
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),2695,2.64,15-1122
SYSTEMS SECURITY CERTIFIED PRACTITIONER,2399,2.35,15-1122
CERTIFIED ETHICAL HACKER,2060,2.02,15-1122
IT INFRASTRUCTURE LIBRARY,1757,1.72,15-1122
CISCO CERTIFIED SECURITY PROFESSIONAL,1532,1.5,15-1122
NETWORK+ CERTIFIED,1437,1.41,15-1122
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),1393,1.37,15-1122
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),1371,1.35,15-1122
CERTIFIED IN THE GOVERNANCE OF ENTERPRISE IT,902,0.89,15-1122
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),857,0.84,15-1122
TOGAF,718,0.7,15-1122
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),689,0.68,15-1122
CERTIFIED INFORMATION SYSTEM SECURITY PROFESSIONAL,623,0.61,15-1122
CHECK POINT CERTIFIED SECURITY EXPERT,610,0.6,15-1122
CHECK POINT CERTIFIED SECURITY ADMINISTRATOR,506,0.5,15-1122
CERTIFIED INTERNAL AUDITOR,496,0.49,15-1122
INFORMATION SYSTEMS CERTIFICATION,408,0.4,15-1122
RED HAT CERTIFIED ENGINEER,351,0.34,15-1122
CERTIFIED PUBLIC ACCOUNTANT (CPA),343,0.34,15-1122
WELDING CERTIFICATION (E.G. AWS CERTIFIED WELDER),336,0.33,15-1122
MICROSOFT CERTIFIED PROFESSIONAL (MCP),325,0.32,15-1122
CERTIFIED A+ TECHNICIAN,323,0.32,15-1122
INSTITUTE OF INTERNAL AUDITORS (IIA),301,0.3,15-1122
CERTIFIED INFORMATION PRIVACY PROFESSIONAL (CIPP),271,0.27,15-1122
LINUX+,250,0.25,15-1122
MICROSOFT CERTIFIED SYSTEMS ENGINEER (MCSE),240,0.24,15-1122
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,229,0.22,15-1122
CERTIFIED FRAUD EXAMINER,226,0.22,15-1122
INFORMATION TECHNOLOGY CERTIFICATION,210,0.21,15-1122
CERTIFIED NOVELL ADMINISTRATOR,205,0.2,15-1122
SIX SIGMA CERTIFICATION,188,0.18,15-1122
CERTIFIED SCRUM PROFESSIONAL,179,0.18,15-1122
RED HAT CERTIFIED SYSTEM ADMINSTRATOR,179,0.18,15-1122
JUNIPER NETWORKS CERTIFIED INTERNET ASSOCIATE,170,0.17,15-1122
JUNIPER NETWORKS CERTIFIED INTERNET SPECIALIST,165,0.16,15-1122
SANS/GIAC EXPLOIT RESEARCHER AND ADVANCED PENETRATION TESTER,144,0.14,15-1122
CERTIFICATE IN SCHOOL ADMINISTRATION,125,0.12,15-1122
CERTIFIED BUILDING COMMISSIONING PROFESSIONAL,120,0.12,15-1122
CISCO CERTIFIED DESIGN PROFESSIONAL (CCDP),120,0.12,15-1122
SECURITY CERTIFIED NETWORK PROFESSIONAL,116,0.11,15-1122
SERIES 7,116,0.11,15-1122
AUDITOR CERTIFICATION,107,0.1,15-1122
JUNIPER NETWORKS CERTIFIED INTERNET PROFESSIONAL,107,0.1,15-1122
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,106,0.1,15-1122
ACCESS MANAGEMENT,103,0.1,15-1122
JUNIPER NETWORKS CERTIFIED INTERNET EXPERT,101,0.1,15-1122
CERTIFIED REGULATORY COMPLIANCE MANAGER,96,0.09,15-1122
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),96,0.09,15-1122
CERTIFIED KNOWLEDGE MANAGER,92,0.09,15-1122
FIRST AID CPR AED,87,0.09,15-1122
RED HAT CERTIFIED ARCHITECT,85,0.08,15-1122
CERTIFIED ADMINISTRATOR,81,0.08,15-1122
SERVER+,81,0.08,15-1122
SECURITY CERTIFIED NETWORK ARCHITECT,79,0.08,15-1122
SCRUM,77,0.08,15-1122
VMWARE CERTIFIED PROFESSIONAL,74,0.07,15-1122
CERTIFIED CUSTOMER SERVICE SPECIALIST (CSS),61,0.06,15-1122
CERTIFIED SENIOR SYSTEM ARCHITECT,61,0.06,15-1122
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),61,0.06,15-1122
CASINO GAMING LICENSE,58,0.06,15-1122
SIX SIGMA BLACK BELT,58,0.06,15-1122
CERTIFIED SYSTEM ADMINISTRATOR,57,0.06,15-1122
COMPUTER ENGINEERING CERTIFICATE,54,0.05,15-1122
MICROSOFT CERTIFIED IT PROFESSIONAL (MCITP),54,0.05,15-1122
POLYGRAPH,51,0.05,15-1122
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),47,0.05,15-1122
AMERICAN REGISTRY OF RADIOLOGIC TECHNOLOGISTS (ARRT),45,0.04,15-1122
CERTIFIED NETWORK ADMINISTRATOR,45,0.04,15-1122
CERTIFIED COMPUTING PROFESSIONAL,44,0.04,15-1122
SOX (SARBANES-OXLEY) CERTIFICATION,43,0.04,15-1122
INVESTMENT ADVISOR,38,0.04,15-1122
SIX SIGMA GREEN BELT,38,0.04,15-1122
ADVANCED INFORMATION SECURITY CERTIFICATION,37,0.04,15-1122
LEAN SIX SIGMA,37,0.04,15-1122
CERTIFICATION IN CONTROL SELF-ASSESSMENT,36,0.04,15-1122
PROGRAM MANAGEMENT CERTIFICATION,36,0.04,15-1122
SOCIAL WORK LICENSE,36,0.04,15-1122
SDB CERTIFIED,32,0.03,15-1122
CERTIFIED HIPAA PROFESSIONAL,31,0.03,15-1122
LEADERSHIP CERTIFICATION,30,0.03,15-1122
LICENSED PROFESSIONAL COUNSELOR,29,0.03,15-1122
WINDOWS CERTIFICATION (E.G. WINDOWS 7 CERT),29,0.03,15-1122
CERTIFIED MARRIAGE AND FAMILY THERAPIST,28,0.03,15-1122
CERTIFIED PROTECTION PROFESSIONAL,28,0.03,15-1122
HELP DESK CERTIFICATION (E.G. COMPTIA),28,0.03,15-1122
SERIES 24,28,0.03,15-1122
CERTIFIED GOVERNMENT CONTRACTOR,27,0.03,15-1122
CERTIFIED INDUSTRIAL HYGIENIST,27,0.03,15-1122
COMMERCIAL DRIVER'S LICENSE,27,0.03,15-1122
QUALITY MANAGEMENT,27,0.03,15-1122
ARMY,26,0.03,15-1122
CERTIFIED IN HEALTHCARE PRIVACY AND SECURITY,26,0.03,15-1122
CERTIFIED NETWORK ENGINEER,26,0.03,15-1122
MBE CERTIFIED,26,0.03,15-1122
PROFESSIONAL ENGINEER,26,0.03,15-1122
TECHNICAL TRAINING CERTIFICATION,26,0.03,15-1122
CERTIFIED BUSINESS CONTINUITY PROFESSIONAL,25,0.02,15-1122
IT SERVICE MANAGEMENT,25,0.02,15-1122
LICENSED ALCOHOL AND DRUG COUNSELOR,25,0.02,15-1122
MASTER BUSINESS CONTINUITY PROFESSIONAL,25,0.02,15-1122
CERTIFIED INFORMATION TECHNOLOGY PROFESSIONAL,24,0.02,15-1122
PRINCE2 CERTIFICATION,24,0.02,15-1122
ADVANCED CERTIFICATE,23,0.02,15-1122
CERTIFIED ANTI MONEY LAUNDERING,23,0.02,15-1122
CERTIFIED NOVELL ENGINEER,23,0.02,15-1122
COMPUTER INFORMATION SYSTEMS CERTIFICATE,23,0.02,15-1122
ADVANCED PROGRAMMING IN C++ CERTIFICATE,21,0.02,15-1122
CERTIFIED SAFETY AND SECURITY DIRECTOR,21,0.02,15-1122
EPIC CERTIFICATION,21,0.02,15-1122
CERTIFIED COMPUTER EXAMINER,20,0.02,15-1122
LICENSED MARRIAGE AND FAMILY THERAPIST,20,0.02,15-1122
CDL CLASS A,19,0.02,15-1122
CERTIFIED INTEGRATOR,19,0.02,15-1122
CHECK POINT CERTIFIED MANAGED SECURITY EXPERT,19,0.02,15-1122
CERTIFICATION IN RISK MANAGEMENT ASSURANCE (CRMA),18,0.02,15-1122
PARALEGAL CERTIFICATION,18,0.02,15-1122
MANAGEMENT AND SUPERVISION,16,0.02,15-1122
MICROSOFT CERTIFIED APPLICATION SPECIALIST (MCAS),16,0.02,15-1122
SERIES 6,16,0.02,15-1122
AGILE CERTIFICATION,15,0.01,15-1122
CERTIFIED IN INTEGRATED RESOURCE MANAGEMENT (CIRM),14,0.01,15-1122
CERTIFIED PROCUREMENT TRANSPLANT COORDINATOR,14,0.01,15-1122
CISCO CERTIFIED DESIGN ASSOCIATE (CCDA),14,0.01,15-1122
DATA CENTER DESIGN CONSULTANT,14,0.01,15-1122
FINANCIAL RISK MANAGER,14,0.01,15-1122
APPLE CERTIFIED MACINTOSH TECHNICIAN,13,0.01,15-1122
CHARTERED PROPERTY CASUALTY UNDERWRITER,13,0.01,15-1122
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),13,0.01,15-1122
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),13,0.01,15-1122
MASTER PROJECT MANAGEMENT,13,0.01,15-1122
PUBLIC SAFETY CERTIFICATE,13,0.01,15-1122
REGISTERED COMMUNICATIONS DISTRIBUTION DESIGNER,13,0.01,15-1122
SAP CERTIFICATION,13,0.01,15-1122
SECURITY GUARD CERTIFICATION,13,0.01,15-1122
SERIES 63,13,0.01,15-1122
SERIES 9,13,0.01,15-1122
CERTIFIED CODING SPECIALIST,12,0.01,15-1122
CERTIFIED PEDIATRIC EMERGENCY NURSE,12,0.01,15-1122
FEDERAL AVIATION ADMINISTRATION (FAA) CERTIFICATION,12,0.01,15-1122
REGISTERED CARDIAC SONOGRAPHER,12,0.01,15-1122
TAXATION CERTIFICATION (E.G. GRADUATE TAX CERTIFICATE),12,0.01,15-1122
TEST ANALYST,12,0.01,15-1122
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,11,0.01,15-1122
CERTIFIED GOVERNMENT FINANCIAL MANAGER,11,0.01,15-1122
ASSOCIATE BUSINESS CONTINUITY PROFESSIONAL,10,0.01,15-1122
CERTIFIED DRIVER,10,0.01,15-1122
CERTIFIED SOFTWARE PROJECT MANAGER,10,0.01,15-1122
COMPUTER TECHNOLOGY,10,0.01,15-1122
DATABASE ADMINISTRATOR (DBA),10,0.01,15-1122
FIDUCIARY INVESTMENT RISK SPECIALIST,10,0.01,15-1122
GIAC CERTIFIED PROJECT MANAGER,10,0.01,15-1122
JAVA CERTIFICATION (E.G. SUN CERTIFIED JAVA ASSOC),10,0.01,15-1122
LEAN CERTIFICATION,10,0.01,15-1122
OPERATIONS CERTIFICATION,10,0.01,15-1122
SERIES 66,10,0.01,15-1122
VMWARE CERTIFIED,10,0.01,15-1122
AMERICAN PHYSICAL THERAPY ASSOCIATION (APTA),9,0.01,15-1122
CAREER DEVELOPMENT,9,0.01,15-1122
CDL CLASS C,9,0.01,15-1122
CERTIFIED CARGO SECURITY PROFESSIONAL,9,0.01,15-1122
CERTIFIED TEACHER,9,0.01,15-1122
GERIATRIC NURSING ASSISTANT,9,0.01,15-1122
MCTS WINDOWS SERVER 2008,9,0.01,15-1122
MICROSOFT CERTIFIED DESKTOP SUPPORT TECHNICIAN,9,0.01,15-1122
CHARTERED FINANCIAL ANALYST (CFA),8,0.01,15-1122
CISCO CERTIFIED VOICE PROFESSIONAL (CCVP),8,0.01,15-1122
INSURANCE LICENSE,8,0.01,15-1122
"ORACLE CERTIFIED MASTER, JAVA SE 6 DEVELOPER",8,0.01,15-1122
PRODUCTION CERTIFICATE,8,0.01,15-1122
REGISTERED HEALTH INFORMATION ADMINISTRATOR,8,0.01,15-1122
ADDICTION TREATMENT COUNSELOR,7,0.01,15-1122
CERTIFIED CONTROL SYSTEMS TECHNICIAN,7,0.01,15-1122
CERTIFIED DEFENSE FINANCIAL MANAGER,7,0.01,15-1122
CERTIFIED ENERGY MANAGER,7,0.01,15-1122
CERTIFIED FINANCIAL PLANNER,7,0.01,15-1122
CERTIFIED SYSTEMS ANALYST,7,0.01,15-1122
CITRIX CERTIFIED INTEGRATION ARCHITECT,7,0.01,15-1122
COMPUTER APPLICATIONS,7,0.01,15-1122
MICROSOFT OFFICE CERTIFICATION,7,0.01,15-1122
REGISTERED HEALTH INFORMATION TECHNICIAN,7,0.01,15-1122
SEATING AND MOBILITY SPECIALIST,7,0.01,15-1122
AMERICAN SOCIETY FOR QUALITY (ASQ) CERTIFICATION,6,0.01,15-1122
CERTIFIED BUSINESS ANALYST PROFESSIONAL,6,0.01,15-1122
CERTIFIED BUSINESS CONTINUITY PLANNER,6,0.01,15-1122
CERTIFIED PSYCHIATRIC REHABILITATION PRACTITIONER,6,0.01,15-1122
CERTIFIED QUALITY AUDITOR,6,0.01,15-1122
CERTIFIED WIRELESS NETWORK ADMINISTRATOR,6,0.01,15-1122
CHARTERED ACCOUNTANT,6,0.01,15-1122
CHECK POINT CERTIFIED SECURITY PRINCIPLES ASSOCIATE,6,0.01,15-1122
COMPUTER BASED,6,0.01,15-1122
NATIONAL CAREER READINESS CERTIFICATE,6,0.01,15-1122
